Label,Values
Bristol Beer Factory -- Fortitude,24.5
Bristol Beer Factory -- Independence,2
Cheddar Ales -- Gorge Best,13
Cheddar Ales -- Potholer,20
Cheddar Ales -- Crown & Glory,21
Cheddar Ales -- Piney Sleight,23
Twisted Oak Brewery -- Fallen Tree,6
Twisted Oak Brewery -- Spun Gold,1
Twisted Oak Brewery -- Leveret,12
Twisted Oak Brewery -- Slippery Slope,17
Fine Tuned Brewery -- Don't Worry Be Hoppy,4.5
Fine Tuned Brewery -- Magic Melody,22
Fine Tuned Brewery -- Sunshine Reggae,1
Fine Tuned Brewery -- Langport Bitter,29
Home Reared Hotdogs,85
